Object ID,Object Type,Object Key,Creation Date,Delivery date,Lead Time,Amount,Currency,Comments
1000160868,Bathroom,13-bath-red,9/6/2021,12/9/2021,94,22 400.29,JPY,13-bath-red_Bathroom
1086686178,Livingroom,1233-liv-cup,9/30/2021,11/20/2021,51,1 360.13,JPY,1233-liv-cup_Livingroom
1086686191,Bathroom,13-bath-red,9/30/2021,11/24/2021,55,1 126.44,JPY,13-bath-red_Bathroom
1086683671,Bathroom,13-bath-red,9/30/2021,4/29/2023,576,164.97,JPY,13-bath-red_Bathroom
994496816,Livingroom,1233-liv-cup,12/10/2021,1/24/2022,45,16 160.00,COP,1233-liv-cup_Livingroom
8983468,Livingroom,1233-liv-cup,11/16/2021,3/7/2023,476,277 066.93,JPY,1233-liv-cup_Livingroom
8983666,Livingroom,1233-liv-cup,11/26/2021,1/5/2022,40,2 249.00,JPY,1233-liv-cup_Livingroom
1039917996,Livingroom,1233-liv-cup,12/9/2021,1/13/2024,765,16 768.90,CHF,1233-liv-cup_Livingroom
1060066686,Livingroom,1233-liv-cup,10/4/2021,11/8/2023,765,1 319.66,JPY,1233-liv-cup_Livingroom
1000163783,Livingroom,1233-liv-cup,11/24/2021,12/3/2021,9,36 009.60,JPY,1233-liv-cup_Livingroom
8990087,Bathroom,13-bath-red,12/27/2021,1/27/2024,761,10 634.68,JPY,13-bath-red_Bathroom
8990084,Bathroom,13-bath-red,12/28/2021,1/31/2022,34,232.30,JPY,13-bath-red_Bathroom
8990080,Bathroom,13-bath-red,12/28/2021,2/22/2022,56,464.67,JPY,13-bath-red_Bathroom
8990404,Bathroom,13-bath-red,12/28/2021,2/1/2022,35,232.30,JPY,13-bath-red_Bathroom
8990403,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,232.30,JPY,13-bath-red_Bathroom
8990409,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,232.30,JPY,13-bath-red_Bathroom
8990399,Bathroom,13-bath-red,12/28/2021,8/30/2024,976,232.30,JPY,13-bath-red_Bathroom
8990089,Bathroom,13-bath-red,12/28/2021,2/9/2022,43,4 687.12,JPY,13-bath-red_Bathroom
8983606,Bathroom,13-bath-red,11/24/2021,1/8/2022,45,249 996.89,JPY,13-bath-red_Bathroom
1060066684,Bathroom,13-bath-red,10/18/2021,10/27/2021,9,1 319.66,JPY,13-bath-red_Bathroom
994496363,Bathroom,13-bath-red,12/10/2021,12/19/2021,9,24 073.20,COP,13-bath-red_Bathroom
8990416,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,464.67,JPY,13-bath-red_Bathroom
8990089,Bathroom,13-bath-red,12/28/2021,1/6/2022,9,232.30,JPY,13-bath-red_Bathroom
8990418,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,464.67,JPY,13-bath-red_Bathroom
8990086,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,464.67,JPY,13-bath-red_Bathroom
8990081,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,232.30,JPY,13-bath-red_Bathroom
8990419,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,696.86,JPY,13-bath-red_Bathroom
8990417,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,232.30,JPY,13-bath-red_Bathroom
8990086,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,232.30,JPY,13-bath-red_Bathroom
8990083,Bathroom,13-bath-red,12/28/2021,1/20/2022,23,232.30,JPY,13-bath-red_Bathroom
1039917916,Bathroom,13-bath-red,12/9/2021,1/9/2024,761,7 021.44,CHF,13-bath-red_Bathroom
8983491,Bathroom,13-bath-red,11/24/2021,12/24/2023,760,2 709.60,JPY,13-bath-red_Bathroom
8983490,Bathroom,13-bath-red,11/24/2021,12/24/2023,760,2 709.60,JPY,13-bath-red_Bathroom
1039917903,Bathroom,13-bath-red,12/9/2021,1/8/2024,760,16 826.06,CHF,13-bath-red_Bathroom
1000163890,Bathroom,13-bath-red,11/24/2021,12/13/2021,19,4 767.91,JPY,13-bath-red_Bathroom
8990994,Bathroom,13-bath-red,12/24/2021,1/10/2022,17,133 681.66,JPY,13-bath-red_Bathroom
1086619198,Bathroom,13-bath-red,12/31/2021,1/17/2022,17,436.41,JPY,13-bath-red_Bathroom
1000660806,Bathroom,13-bath-red,1/10/2011,1/27/2011,17,1 891.38,JPY,13-bath-red_Bathroom
8990106,Bathroom,13-bath-red,12/21/2021,1/5/2022,15,27 613.71,JPY,13-bath-red_Bathroom
1060068149,Bathroom,13-bath-red,1/10/2011,1/24/2011,14,1 866.62,JPY,13-bath-red_Bathroom
1039917977,Bathroom,13-bath-red,12/9/2021,12/23/2021,14,1 867.69,CHF,13-bath-red_Bathroom
1086619900,Bathroom,13-bath-red,12/31/2021,1/14/2022,14,1 179.13,JPY,13-bath-red_Bathroom
8990196,Bathroom,13-bath-red,1/12/2011,1/26/2011,14,7 676.78,JPY,13-bath-red_Bathroom
8983697,Bathroom,13-bath-red,12/10/2021,6/4/2022,176,46 413.64,JPY,13-bath-red_Bathroom
1039917968,Bathroom,13-bath-red,12/9/2021,6/3/2022,176,3 090.66,CHF,13-bath-red_Bathroom
1086619197,Bathroom,13-bath-red,12/31/2021,6/25/2022,176,92.46,JPY,13-bath-red_Bathroom
8990197,Bathroom,13-bath-red,1/12/2011,7/7/2011,176,3 308.48,JPY,13-bath-red_Bathroom
1000163819,Bathroom,13-bath-red,11/24/2021,5/19/2022,176,29 000.38,JPY,13-bath-red_Bathroom
8983401,Bathroom,13-bath-red,11/26/2021,5/21/2022,176,1 049.41,JPY,13-bath-red_Bathroom
1060066673,Bathroom,13-bath-red,12/10/2021,12/21/2021,11,370.26,JPY,13-bath-red_Bathroom
1060066679,Bathroom,13-bath-red,12/10/2021,12/21/2021,11,1 027.44,JPY,13-bath-red_Bathroom
1060066671,Bathroom,13-bath-red,12/10/2021,12/21/2021,11,831.68,JPY,13-bath-red_Bathroom
1060066670,Bathroom,13-bath-red,12/10/2021,12/21/2021,11,1 434.68,JPY,13-bath-red_Bathroom
1060068196,Bathroom,13-bath-red,1/10/2011,1/21/2011,11,27 976.97,JPY,13-bath-red_Bathroom
994496801,Bathroom,13-bath-red,12/27/2021,1/7/2022,11,232 074.43,COP,13-bath-red_Bathroom
8990019,Bathroom,13-bath-red,12/28/2021,1/7/2022,10,1 767.96,JPY,13-bath-red_Bathroom
8990087,Bathroom,13-bath-red,12/28/2021,1/7/2022,10,1 767.96,JPY,13-bath-red_Bathroom
8990407,Bathroom,13-bath-red,12/28/2021,1/7/2022,10,1 767.96,JPY,13-bath-red_Bathroom
8983697,Bathroom,13-bath-red,1/11/2011,1/21/2011,10,911.27,JPY,13-bath-red_Bathroom
8983607,Bathroom,13-bath-red,1/11/2011,1/21/2011,10,1 334.41,JPY,13-bath-red_Bathroom
8983606,Bathroom,13-bath-red,1/11/2011,1/21/2011,10,1 662.72,JPY,13-bath-red_Bathroom
1060066646,Bathroom,13-bath-red,11/16/2021,11/26/2021,10,31 098.21,JPY,13-bath-red_Bathroom
8983673,Bathroom,13-bath-red,11/29/2021,12/9/2021,10,7 460.74,JPY,13-bath-red_Bathroom
8983479,Bathroom,13-bath-red,11/29/2021,12/9/2021,10,974.69,JPY,13-bath-red_Bathroom
1039996378,Bathroom,13-bath-red,1/10/2011,2/2/2011,23,17 664.40,CHF,13-bath-red_Bathroom
1039917971,Bathroom,13-bath-red,12/9/2021,12/17/2021,8,4 866.12,CHF,13-bath-red_Bathroom
1039996463,Bathroom,13-bath-red,1/10/2011,1/18/2011,8,23 081.33,CHF,13-bath-red_Bathroom
8983086,Bathroom,13-bath-red,12/13/2021,12/21/2021,8,1 632.48,JPY,13-bath-red_Bathroom
8983417,Bathroom,13-bath-red,12/13/2021,12/21/2021,8,4 440.77,JPY,13-bath-red_Bathroom
1039996410,Bathroom,13-bath-red,1/10/2011,1/17/2011,7,27 921.41,CHF,13-bath-red_Bathroom
8990398,Bathroom,13-bath-red,12/28/2021,1/4/2022,7,60.18,JPY,13-bath-red_Bathroom
1039917969,Bathroom,13-bath-red,12/9/2021,12/16/2021,7,1 200.02,CHF,13-bath-red_Bathroom
1039917976,Bathroom,13-bath-red,12/9/2021,12/16/2021,7,2 866.24,CHF,13-bath-red_Bathroom
994496807,Bathroom,13-bath-red,12/27/2021,1/3/2022,7,167 406.86,COP,13-bath-red_Bathroom
1060068143,Bathroom,13-bath-red,1/10/2011,1/17/2011,7,2 126.39,JPY,13-bath-red_Bathroom
8990460,Bathroom,13-bath-red,1/13/2011,1/20/2011,7,2 489.06,JPY,13-bath-red_Bathroom
8980699,Bathroom,13-bath-red,11/26/2021,12/3/2021,7,262.48,JPY,13-bath-red_Bathroom
8983400,Bathroom,13-bath-red,11/26/2021,12/3/2021,7,171.03,JPY,13-bath-red_Bathroom
1086689678,Bathroom,13-bath-red,1/31/2011,2/7/2011,7,1 346.92,JPY,13-bath-red_Bathroom
1086619194,Bathroom,13-bath-red,12/31/2021,1/7/2022,7,662.63,JPY,13-bath-red_Bathroom
1086689799,Bathroom,13-bath-red,1/31/2011,2/7/2011,7,822.13,JPY,13-bath-red_Bathroom
1039996441,Bathroom,13-bath-red,11/9/2011,11/16/2011,7,60 612.12,CHF,13-bath-red_Bathroom
1039996069,Bathroom,13-bath-red,11/9/2011,11/16/2011,7,1 396.00,CHF,13-bath-red_Bathroom
8990136,Bathroom,13-bath-red,11/9/2011,11/16/2011,7,21 928.32,JPY,13-bath-red_Bathroom
8990136,Bathroom,13-bath-red,11/9/2011,11/16/2011,7,111 434.40,JPY,13-bath-red_Bathroom
1039917898,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,30 671.34,CHF,13-bath-red_Bathroom
1039917990,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,28 783.46,CHF,13-bath-red_Bathroom
1039917963,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,27 848.64,CHF,13-bath-red_Bathroom
1039917970,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,1 669.64,CHF,13-bath-red_Bathroom
8983684,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,487.30,JPY,13-bath-red_Bathroom
8983631,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,24 136.90,JPY,13-bath-red_Bathroom
1000163817,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,16 176.30,JPY,13-bath-red_Bathroom
8990968,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,961.16,JPY,13-bath-red_Bathroom
1039918039,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,32 033.96,CHF,13-bath-red_Bathroom
1039917916,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,1 396.00,CHF,13-bath-red_Bathroom
996640316,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,44 036.26,CAD,13-bath-red_Bathroom
1039917966,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,607.60,CHF,13-bath-red_Bathroom
1039917974,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,6 769.03,CHF,13-bath-red_Bathroom
1039918071,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,390 140.83,CHF,13-bath-red_Bathroom
996640316,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,192 181.00,CAD,13-bath-red_Bathroom
8990966,Bathroom,13-bath-red,11/9/2011,11/14/2011,5,34 663.26,JPY,13-bath-red_Bathroom
1039996970,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,66 600.10,CHF,13-bath-red_Bathroom
8990306,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,9 486.98,JPY,13-bath-red_Bathroom
1039917973,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,1 043.11,CHF,13-bath-red_Bathroom
8983666,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,11 019.20,JPY,13-bath-red_Bathroom
8983694,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,67 676.18,JPY,13-bath-red_Bathroom
8983617,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,17 820.29,JPY,13-bath-red_Bathroom
8980671,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,67 278.92,JPY,13-bath-red_Bathroom
1039996379,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,41 941.01,CHF,13-bath-red_Bathroom
1086689730,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,211.46,JPY,13-bath-red_Bathroom
1086689769,Bathroom,13-bath-red,11/9/2011,11/13/2011,4,116.76,JPY,13-bath-red_Bathroom
1039917919,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,17 612.47,CHF,13-bath-red_Bathroom
1039996999,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,36 311.89,CHF,13-bath-red_Bathroom
8990439,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,36 861.01,JPY,13-bath-red_Bathroom
1039917990,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,60 860.12,CHF,13-bath-red_Bathroom
1039917936,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,68 331.71,CHF,13-bath-red_Bathroom
1039917897,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,64 096.67,CHF,13-bath-red_Bathroom
1039917864,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,43 007.18,CHF,13-bath-red_Bathroom
1039996600,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,46 239.04,CHF,13-bath-red_Bathroom
1000164196,Bathroom,13-bath-red,11/9/2011,1/24/2012,76,26 369.63,JPY,13-bath-red_Bathroom
997706899,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,200 119.11,ZAR,13-bath-red_Bathroom
1069663999,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,39 626.12,JPY,13-bath-red_Bathroom
1069664000,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,1 690.82,JPY,13-bath-red_Bathroom
1069664001,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,111 040.34,JPY,13-bath-red_Bathroom
1069664019,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,80 470.86,JPY,13-bath-red_Bathroom
1069664014,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,67 780.61,JPY,13-bath-red_Bathroom
1069663708,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,26 143.63,JPY,13-bath-red_Bathroom
994496374,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,22 092.76,COP,13-bath-red_Bathroom
994496373,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,208 319.74,COP,13-bath-red_Bathroom
994496379,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,276 679.23,COP,13-bath-red_Bathroom
994496371,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,312.20,COP,13-bath-red_Bathroom
1086619199,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,1 390.02,JPY,13-bath-red_Bathroom
1039918093,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,23 276.41,CHF,13-bath-red_Bathroom
1039918099,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,39 663.36,CHF,13-bath-red_Bathroom
1060066608,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,102 003.66,JPY,13-bath-red_Bathroom
1060066640,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,32 120.60,JPY,13-bath-red_Bathroom
1060066639,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,14 103.17,JPY,13-bath-red_Bathroom
1060066641,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,4 798.94,JPY,13-bath-red_Bathroom
1060066643,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,6 168.81,JPY,13-bath-red_Bathroom
1060066644,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,27 392.94,JPY,13-bath-red_Bathroom
1039996393,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,69 221.97,CHF,13-bath-red_Bathroom
997706997,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,764 666.33,ZAR,13-bath-red_Bathroom
997706996,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,277 236.00,ZAR,13-bath-red_Bathroom
997706996,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,92 820.00,ZAR,13-bath-red_Bathroom
997706910,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,312 694.40,ZAR,13-bath-red_Bathroom
997706909,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,686 310.40,ZAR,13-bath-red_Bathroom
994496369,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,726 111.00,COP,13-bath-red_Bathroom
1060066661,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,20 726.14,JPY,13-bath-red_Bathroom
997706908,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,2 298 628.63,EUR,13-bath-red_Bathroom
8983668,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,61 397.10,JPY,13-bath-red_Bathroom
1039996376,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,8 262.00,CHF,13-bath-red_Bathroom
1039996369,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,78 321.13,CHF,13-bath-red_Bathroom
1039996063,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,2 482.80,CHF,13-bath-red_Bathroom
994496819,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,36 286.20,COP,13-bath-red_Bathroom
994496809,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,16 684.90,COP,13-bath-red_Bathroom
994496808,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,11 333.90,COP,13-bath-red_Bathroom
994496803,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,34 192.13,COP,13-bath-red_Bathroom
994496804,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,16 300.00,COP,13-bath-red_Bathroom
994496806,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,12 786.30,COP,13-bath-red_Bathroom
994496361,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,21 163.43,COP,13-bath-red_Bathroom
994496366,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,28 490.93,COP,13-bath-red_Bathroom
994496367,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,16 168.96,COP,13-bath-red_Bathroom
994496360,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,18 036.18,COP,13-bath-red_Bathroom
994496376,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,47 643.76,COP,13-bath-red_Bathroom
994496376,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,39 963.38,COP,13-bath-red_Bathroom
994496377,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,32 337.90,COP,13-bath-red_Bathroom
8983669,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,49 666.60,JPY,13-bath-red_Bathroom
8983636,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,64 044.06,JPY,13-bath-red_Bathroom
8983637,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,17 066.18,JPY,13-bath-red_Bathroom
997706906,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,601 008.69,ZAR,13-bath-red_Bathroom
1039918034,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,38 964.12,CHF,13-bath-red_Bathroom
1039918008,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,46 162.08,CHF,13-bath-red_Bathroom
1039917193,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,36 191.28,CHF,13-bath-red_Bathroom
8990163,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,1 064.03,JPY,13-bath-red_Bathroom
8983083,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,47 170.69,JPY,13-bath-red_Bathroom
1039917991,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,31 762.86,CHF,13-bath-red_Bathroom
1039918097,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,41 433.02,CHF,13-bath-red_Bathroom
1039918068,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,37 612.16,CHF,13-bath-red_Bathroom
1039917869,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,23 680.40,CHF,13-bath-red_Bathroom
1039996608,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,143 686.60,CHF,13-bath-red_Bathroom
1039996496,Bathroom,13-bath-red,11/9/2011,7/2/2012,236,48 968.11,CHF,13-bath-red_Bathroom
1039996436,Bathroom,13-bath-red,11/9/2011,11/10/2011,1,103 069.90,CHF,13-bath-red_Bathroom
1039996377,Bathroom,13-bath-red,11/9/2011,11/10/2011,1,23 664.68,CHF,13-bath-red_Bathroom
